id;tags;category;region;county;address;longitude;latitude;nearby;datetime;light;weather;road_conditions;participants_count;participant_categories;severity;dead_count;injured_count
160;Дорожно-транспортные происшествия;Столкновение;Магаданская область;Магадан;Магадан, Р-504 Колыма Якутск - Магадан, 1976км;1.0;1.0;Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-01-01 06:30:00;В темное время суток, освещение отсутствует;Ясно;Не установлены;3;Все участники;Легкий;0;1
514;Дорожно-транспортные происшествия;Наезд на препятствие;Магаданская область;Магадан;г Магадан, ул Приморская, 1 А;150.123889;59.918056;Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-01-02 01:20:00;В темное время суток, освещение включено;Пасмурно;Не установлены;2;Все участники;Легкий;0;1
539;Дорожно-транспортные происшествия;Наезд на препятствие;Магаданская область;Магадан;г Магадан, ул Речная, 63-1;150.1225;59.085;Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-01-02 03:50:00;В темное время суток, освещение включено;Ясно;Не установлены;2;Все участники;Тяжёлый;0;1
683;Дорожно-транспортные происшествия;Столкновение;Магаданская область;Магадан;г Магадан, ул Полярная, 18;150.790833;59.561667;Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-01-02 14:25:00;Светлое время суток;Пасмурно;Отсутствие, плохая различимость горизонтальной разметки проезжей части;4;Все участники;Легкий;0;1
1328;Дорожно-транспортные происшествия;Наезд на пешехода;Магаданская область;Магадан;Магадан, Р-504 Колыма Якутск - Магадан, 2017км;150.913333;59.605;Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-01-03 19:55:00;В темное время суток, освещение отсутствует;Ясно;Не установлены;2;Все участники, Пешеходы;Тяжёлый;0;1
2138;Дорожно-транспортные происшествия;Съезд с дороги;Магаданская область;Магадан;г Магадан, ш Портовое, 70;150.768889;59.565;Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-01-06 02:00:00;В темное время суток, освещение включено;Ясно;Не установлены;1;Все участники;Легкий;0;1
2524;Дорожно-транспортные происшествия;Столкновение;Магаданская область;Магадан;г Магадан, ул Приморская, 1а;150.7775;59.560556;Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-01-07 02:00:00;В темное время суток, освещение отсутствует;Снегопад;Не установлены;3;Все участники;Легкий;0;2
2557;Дорожно-транспортные происшествия;Съезд с дороги;Магаданская область;Тенькинский район;Тенькинский район, ПАЛАТКА-КУЛУ-НЕКСИКАН, 176км;149.620556;61.110556;Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-01-07 08:15:00;Сумерки;Пасмурно;Не установлены;3;Все участники;Тяжёлый;0;1
5696;Дорожно-транспортные происшествия;Столкновение;Магаданская область;Хасынский район;Хасынский район, ПАЛАТКА-КУЛУ-НЕКСИКАН, 4км;150.946362;60.142873;Иной объект, Мост, эстакада, путепровод, Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-01-15 10:20:00;Светлое время суток;Ясно;Не установлены;16;Все участники;Тяжёлый;0;1
5713;Дорожно-транспортные происшествия;Столкновение;Магаданская область;Магадан;Магадан, Р-504 Колыма Якутск - Магадан, 2012км;150.884167;59.603056;Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-01-15 11:30:00;Светлое время суток;Ясно;Не установлены;3;Все участники;Легкий;0;3
7055;Дорожно-транспортные происшествия;Наезд на пешехода;Магаданская область;Магадан;г Магадан, ул Набережная реки Магаданки, 7;150.81;59.569167;Жилые дома индивидуальной застройки, Нерегулируемый пешеходный переход, Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-01-18 12:40:00;Светлое время суток;Ясно;Отсутствие, плохая различимость горизонтальной разметки проезжей части;2;Все участники, Пешеходы;Легкий;0;1
